customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,Random_Text,Unused_Code,Extra_Column,Fake_Status
CUS_971,63,Other,Basic,18.77,56,N/A,Mobile,8.99,1,Crypto,2,0.33,Sci-Fi,trash,45417,abc,yes
CUS_2420,37,Female,Basic,25.43,5,Africa,Desktop,8.99,0,Gift Card,4,4.24,Horror,trash,93753,none,no
CUS_1860,58,Other,Basic,5.36,59,???,TV,8.99,1,Crypto,1,0.09,Comedy,sample,99047,xyz,no
CUS_2697,40,Male,Standard,3.48,29,Oceania,Laptop,13.99,0,Debit Card,4,0.12,Drama,random,26160,xyz,yes
CUS_3301,53,Other,Standard,1.55,30,Asia,Laptop,13.99,1,Credit Card,3,0.05,Documentary,sample,44072,temp,maybe
CUS_3040,45,Female,Premium,30.42,14,Asia,Mobile,17.99,0,Debit Card,3,2.03,Romance,sample,52157,xyz,yes
CUS_3676,37,Other,Standard,8.25,4,North America,Laptop,13.99,0,PayPal,1,1.65,Horror,dummy,51447,temp,no
CUS_1447,69,Male,Basic,6.46,49,Europe,Mobile,8.99,1,Debit Card,3,0.13,Documentary,dummy,85603,xyz,yes
CUS_2912,59,Other,Standard,3.7,22,,Tablet,13.99,1,Gift Card,3,0.16,Comedy,sample,91478,none,no
CUS_3665,35,Other,Basic,14.78,24,Asia,Mobile,8.99,0,Crypto,4,0.59,Sci-Fi,dummy,46528,xyz,no
CUS_4317,70,Other,Premium,7.61,1,error,Laptop,17.99,0,Credit Card,5,3.81,Drama,sample,92397,temp,maybe
CUS_2598,70,Female,Standard,8.27,60,Europe,Tablet,13.99,1,Gift Card,3,0.14,Comedy,random,8539,none,no
CUS_4289,35,Female,Premium,9.97,13,Africa,TV,17.99,0,Debit Card,5,0.71,Drama,sample,47713,xyz,no
CUS_1851,19,Female,Basic,6.32,3,Asia,Mobile,8.99,0,Credit Card,2,1.58,Drama,sample,13577,xyz,yes
CUS_430,33,Male,Basic,8.19,53,Europe,TV,8.99,1,Credit Card,1,0.15,Comedy,trash,80082,temp,no
CUS_102,31,Other,Premium,2.81,39,Europe,Desktop,17.99,1,Credit Card,5,0.07,Horror,random,94794,abc,no
CUS_4708,36,Male,Premium,2.13,54,,Laptop,17.99,1,Debit Card,3,0.04,Drama,sample,73085,xyz,maybe
CUS_466,61,Female,Premium,16.13,21,Europe,Tablet,17.99,0,Crypto,3,0.73,Documentary,trash,96977,abc,yes
CUS_4130,44,Other,Standard,5.3,29,,Mobile,13.99,0,Gift Card,1,0.18,Documentary,dummy,70957,xyz,no
CUS_4829,18,Other,Basic,12.33,22,North America,Tablet,8.99,0,PayPal,5,0.54,Comedy,random,59598,abc,yes
CUS_3505,39,Female,Standard,15.89,21,,Desktop,13.99,0,Gift Card,4,0.72,Sci-Fi,random,58110,none,yes
CUS_298,52,Other,Premium,11.5,53,Europe,TV,17.99,1,Crypto,5,0.21,Documentary,trash,1323,xyz,yes
CUS_2779,36,Other,Standard,23.37,57,Africa,TV,13.99,0,Credit Card,5,0.4,Comedy,sample,35050,none,maybe
CUS_3985,26,Male,Premium,8.13,12,South America,Laptop,17.99,0,Credit Card,4,0.63,Sci-Fi,trash,65698,none,yes
CUS_099,20,Other,Premium,3.4,33,???,Tablet,17.99,1,Crypto,5,0.1,Drama,random,42673,none,maybe
CUS_577,59,Female,Standard,26.45,55,Oceania,Laptop,13.99,0,PayPal,4,0.47,Comedy,dummy,68231,temp,maybe
CUS_4467,69,Male,Standard,3.46,60,North America,Desktop,13.99,1,Crypto,5,0.06,Action,random,43312,abc,no
CUS_4077,64,Male,Premium,3.74,32,North America,Tablet,17.99,1,PayPal,3,0.11,Drama,sample,40231,none,no
CUS_979,42,Other,Standard,0.45,15,Africa,Laptop,13.99,1,Gift Card,5,0.03,Romance,trash,42065,abc,maybe
CUS_3015,30,Male,Basic,5.73,41,Oceania,Laptop,8.99,1,Gift Card,3,0.14,Romance,trash,77034,xyz,maybe
CUS_3247,46,Male,Premium,1.48,10,Asia,Tablet,17.99,0,Credit Card,4,0.13,Romance,dummy,46281,none,maybe
CUS_1168,23,Other,Premium,11.61,38,,Mobile,17.99,1,Credit Card,3,0.3,Horror,dummy,46704,temp,no
CUS_4225,70,Male,Premium,18.46,8,,TV,17.99,0,Credit Card,4,2.05,Documentary,dummy,39950,xyz,maybe
CUS_4510,28,Female,Premium,10.53,23,###,Desktop,17.99,0,Credit Card,2,0.44,Horror,trash,89374,none,yes
CUS_3533,22,Other,Standard,3.31,35,Europe,Desktop,13.99,1,Crypto,2,0.09,Romance,trash,84166,temp,no
CUS_1859,33,Other,Standard,4.18,10,South America,Laptop,13.99,1,Crypto,5,0.38,Horror,dummy,39476,xyz,yes
CUS_3482,45,Male,Basic,1.98,53,Europe,Laptop,8.99,1,Crypto,5,0.04,Documentary,random,50268,abc,no
CUS_539,41,Female,Standard,23.03,50,,TV,13.99,0,Credit Card,3,0.45,Drama,random,56571,temp,no
CUS_2450,24,Female,Standard,1.68,45,Asia,Mobile,13.99,1,Credit Card,3,0.04,Comedy,trash,32103,xyz,no
CUS_4980,27,Other,Basic,71.38,32,South America,Mobile,8.99,0,PayPal,5,2.16,Comedy,dummy,66451,xyz,maybe
CUS_2879,69,Other,Premium,3.84,30,Asia,Desktop,17.99,1,Crypto,5,0.12,Documentary,dummy,3855,abc,no
CUS_3382,29,Female,Premium,15.26,49,North America,Tablet,17.99,1,Credit Card,1,0.31,Sci-Fi,sample,21515,xyz,yes
CUS_2267,29,Female,Standard,0.24,23,Oceania,TV,13.99,1,Credit Card,2,0.01,Documentary,sample,1355,temp,maybe
CUS_1796,65,Other,Basic,25.81,41,Africa,TV,8.99,0,Credit Card,1,0.61,Sci-Fi,dummy,9311,none,no
CUS_1727,43,Male,Premium,2.23,29,Oceania,Laptop,17.99,1,Gift Card,1,0.07,Documentary,trash,36629,none,yes
CUS_3136,27,Female,Standard,33.25,34,South America,Laptop,13.99,0,Debit Card,3,0.95,Documentary,random,1269,xyz,no
CUS_3083,22,Other,Basic,11.84,40,Africa,TV,8.99,1,Debit Card,1,0.29,Action,dummy,9599,xyz,yes
CUS_133,19,Other,Basic,3.72,11,N/A,Desktop,8.99,1,Crypto,5,0.31,Documentary,dummy,53146,xyz,maybe
CUS_1189,38,Female,Premium,15.94,54,Oceania,Desktop,17.99,1,Crypto,2,0.29,Action,sample,64956,abc,no
CUS_4310,49,Female,Standard,10.34,20,Europe,Mobile,13.99,0,Gift Card,3,0.49,Sci-Fi,trash,69485,xyz,yes
CUS_4059,49,Female,Premium,15.64,1,###,Tablet,17.99,0,PayPal,4,7.82,Horror,dummy,25788,abc,maybe
CUS_555,67,Male,Standard,9.57,5,error,Mobile,13.99,0,Crypto,5,1.59,Action,trash,67543,none,yes
CUS_1471,70,Male,Standard,4.17,38,unknown,Tablet,13.99,1,PayPal,1,0.11,Sci-Fi,trash,87265,none,no
CUS_2822,48,Female,Basic,0.29,33,North America,Tablet,8.99,1,Debit Card,1,0.01,Horror,dummy,36961,temp,no
CUS_2886,35,Female,Premium,3.78,37,,Laptop,17.99,1,Debit Card,5,0.1,Drama,trash,58575,none,yes
CUS_737,29,Male,Premium,16.42,4,Oceania,Tablet,17.99,0,Credit Card,3,3.28,Drama,sample,23982,abc,yes
CUS_2834,25,Male,Basic,2.95,37,North America,TV,8.99,1,PayPal,4,0.08,Horror,trash,66111,temp,yes
CUS_3821,65,Male,Standard,19.08,52,Asia,Tablet,13.99,1,PayPal,2,0.36,Drama,random,46383,abc,yes
CUS_3606,59,Female,Premium,19.86,37,Europe,Mobile,17.99,0,Gift Card,3,0.52,Sci-Fi,trash,88021,abc,no
CUS_602,35,Male,Standard,16.34,39,Asia,Desktop,13.99,1,Gift Card,2,0.41,Documentary,sample,48284,temp,maybe
CUS_2030,33,Other,Basic,24.5,46,Africa,TV,8.99,0,Credit Card,3,0.52,Sci-Fi,dummy,55864,abc,maybe
CUS_4293,38,Male,Basic,6.95,17,South America,Tablet,8.99,0,Credit Card,5,0.39,Documentary,trash,46126,abc,no
